NAME,LATITUDE,LONGITUDE
ADM,46.5314,-93.7075
AIT,46.5448,-93.6774
AKE,47.0033,-94.7305
APN,46.632705,-94.321164
AUS,46.3297,-94.1482
BAB,46.528015,-94.432986
BAY,46.357281,-93.863447
BDP,46.344606,-94.209082
BER,46.329936,-94.463938
BLN,46.534484,-93.706347
BLY,46.695903,-94.108321
BOB,46.6035,-94.3143
BPP,46.036665,-94.344932
BRD,46.392961,-94.139694
BRU,46.9865,-94.2120
BRZ,46.588338,-94.209140
BWC,46.260323,-94.319409
BWT,46.357880,-94.200432
CEL,46.354913,-94.343626
CFT,46.4895,-93.9507
CLD,46.669268,-94.112396
CMT,46.593720,-95.573647
CQS,46.092632,-94.505494
CUY,46.4777,-93.9760
CZY,46.439643,-95.138767
DEP,46.357201,-94.200811
DER,46.4736,-93.8991
DOW,46.3542,-94.8496
EEE,46.3533,-94.2410
EGL,46.3852,-94.3749
ERN,46.4231,-94.3606
FRO,46.9863,-94.2114
FSD,46.3791,-94.3721
FTZ,46.5199,-94.3525
GRN,46.7282,-93.9875
HAK,46.9310,-94.5229
HSH,46.479737,-93.976164
HUB,46.5016,-94.2586
IDL,46.667319,-94.198024
JGP,45.9758,-94.3668
JPB,46.377523,-94.252669
LFA,45.9522,-94.3471
LOC,46.358280,-94.203153
LPW,46.354108,-94.208853
LSB,46.485900,-94.376771
LTF,45.975484,-94.362851
LTR,46.9864,-94.2119
MAD,46.3962,-94.3744
MIL,46.5362,-93.9715
MIS,46.568799,-94.112163
NEV,46.9644,-94.8422
NOR,46.655975,-94.196984
NPR,46.356676,-94.189260
NTR,46.5215,-94.2889
NYM,46.517622,-95.374786
OGE,46.2145,-94.5396
OTC,46.4264,-95.5579
OTT,46.3727,-95.6532
OUT,46.8196,-93.9398
PAD,46.352067,-94.210194
PHT,46.4232,-94.3605
PIT,46.4015,-94.3262
PMT,46.6041,-94.2943
POR,46.495453           ,-93.963908
PRA,46.727267,-94.387191
PRD,46.721570,-94.400354
PRP,46.721702,-94.400373
PRR,46.717032,-94.403362
PTR,46.593916,-95.572059
REC,46.356668,-94.203818
RHQ,46.3819,-94.4058
RIA,46.5342,-93.7066
RRP,46.3424,-94.2145
SEB,46.630091,-95.097958
SER,46.4792,-93.9554
SLO,46.331337,-94.647587
SMC,46.669219,-94.111251
SMJ,46.632705,-94.324164
SMM,46.698280,-94.116647
SMP,46.718292,-94.403287
SMY,46.675908,-94.108579
TRI,46.3668,-94.1777
TRM,46.506597,-94.019809
UNA,46.4729,-93.8964
UND,46.4825,-93.9559
VIC,46.4823,-93.9554
